Order #,Order Date,Role,Please specify other role,Affiliation (graduate students: please choose the primary school of your department),"Please specify ""other"" affiliation",Department,Choose a box lunch for April 2nd,Choose a box lunch for April 3rd,Which option best describes your experience level with programming
907368251,2019-02-28 15:51:58-06:00,"Terminal Professional Degree Student (e.g. JD, MD)",,Other,None,Engineering,Tuna salad,Grilled Mediterranean chicken sandwich,A little: I've written a few lines of code or modified scripts
910105881,2019-03-05 12:47:50-06:00,PhD Student,,Feinberg School of Medicine,,Rheumatology,Grilled Mediterranean chicken sandwich,Grilled Mediterranean chicken sandwich,A little: I've written a few lines of code or modified scripts
910123632,2019-03-05 13:12:30-06:00,PhD Student,,Feinberg School of Medicine,,Ob/gyn,Grilled Mediterranean chicken sandwich,Grilled veggie wrap,A little: I've written a few lines of code or modified scripts
910233885,2019-03-05 15:50:47-06:00,PhD Student,,Feinberg School of Medicine,,OBGYN,Tuna salad,Tuna salad,A little: I've written a few lines of code or modified scripts
911056397,2019-03-06 18:13:24-06:00,PhD Student,,Feinberg School of Medicine,,Physiology,Grilled Mediterranean chicken sandwich,Grilled veggie wrap,A little: I've written a few lines of code or modified scripts
911702590,2019-03-07 15:23:29-06:00,Master's Student,,Feinberg School of Medicine,,Center for reproductive science,Tuna salad,Turkey breast and provolone,OK: I've written a loop or function in another language/program
911886507,2019-03-07 21:08:48-06:00,PhD Student,,Feinberg School of Medicine,,Microbiology-Immunology,Grilled Mediterranean chicken sandwich,Turkey breast and provolone,None: Complete beginner
911941373,2019-03-08 00:00:47-06:00,PhD Student,,Feinberg School of Medicine,,Microbiology-Immunology,Grilled Mediterranean chicken sandwich,Turkey breast and provolone,OK: I've written a loop or function in another language/program
912973160,2019-03-09 20:02:33-06:00,Other,MSTP,McCormick School of Engineering and Applied Science,,Materials Science and Engineering,Grilled veggie wrap,Grilled veggie wrap,"Good: I use other languages or programs, and I'm looking to learn Python"
915635141,2019-03-14 08:47:49-05:00,PhD Student,,Feinberg School of Medicine,,Biochemistry and Molecular genetics,Grilled veggie wrap,Grilled veggie wrap,None: Complete beginner
915742608,2019-03-14 11:14:34-05:00,Staff,,Northwestern Medicine,,Transplantation,Grilled veggie wrap,Tuna salad,None: Complete beginner
915751279,2019-03-14 11:26:01-05:00,Staff,,Feinberg School of Medicine,,Surgery,Turkey breast and provolone,Ham and swiss cheese,None: Complete beginner
916018111,2019-03-14 18:09:32-05:00,PhD Student,,Feinberg School of Medicine,,Medical Scientist Training Program,Tuna salad,Grilled Mediterranean chicken sandwich,None: Complete beginner
918736221,2019-03-19 13:28:47-05:00,Postdoc,,McCormick School of Engineering and Applied Science,,Materials Science and Engineering,Roast beef and cheddar,Grilled Mediterranean chicken sandwich,OK: I've written a loop or function in another language/program
918754341,2019-03-19 13:55:51-05:00,Faculty,,Northwestern Medicine,,neurology,Turkey breast and provolone,Roast beef and cheddar,"Good: I use other languages or programs, and I'm looking to learn Python"
918764794,2019-03-19 14:07:45-05:00,Master's Student,,Feinberg School of Medicine,,Neurology,Grilled veggie wrap,Tuna salad,A little: I've written a few lines of code or modified scripts
918775573,2019-03-19 14:23:27-05:00,Postdoc,,McCormick School of Engineering and Applied Science,,Civil and Environmental Engineering,Grilled Mediterranean chicken sandwich,Roast beef and cheddar | Tuna salad,None: Complete beginner
918785906,2019-03-19 14:39:11-05:00,Master's Student,,School of Professional Studies,,Master of Data Science,Grilled veggie wrap,Grilled Mediterranean chicken sandwich,A little: I've written a few lines of code or modified scripts
918786104,2019-03-19 14:39:31-05:00,Postdoc,,Feinberg School of Medicine,,Dermatology,Tuna salad,Grilled Mediterranean chicken sandwich,None: Complete beginner
918789083,2019-03-19 14:43:53-05:00,Postdoc,,Feinberg School of Medicine,,Dermatology,Ham and swiss cheese,Turkey breast and provolone,A little: I've written a few lines of code or modified scripts
918792906,2019-03-19 14:49:35-05:00,Staff,,Feinberg School of Medicine,,Neurology,Roast beef and cheddar,Roast beef and cheddar,None: Complete beginner
918821557,2019-03-19 15:31:35-05:00,Faculty,,Feinberg School of Medicine,,Cell and Molecular Biology,Ham and swiss cheese,Roast beef and cheddar,None: Complete beginner
918831826,2019-03-19 15:46:48-05:00,Postdoc,,Feinberg School of Medicine,,rheumatology,Grilled veggie wrap,Grilled veggie wrap,"Good: I use other languages or programs, and I'm looking to learn Python"
918836055,2019-03-19 15:53:21-05:00,Postdoc,,Weinberg College,,Neurobiology,Grilled Mediterranean chicken sandwich,Grilled Mediterranean chicken sandwich,OK: I've written a loop or function in another language/program
918836980,2019-03-19 15:54:49-05:00,PhD Student,,Weinberg College,,Physics and Astronomy,Turkey breast and provolone,Turkey breast and provolone,OK: I've written a loop or function in another language/program
918949353,2019-03-19 19:17:01-05:00,PhD Student,,Weinberg College,,Mathematics,Roast beef and cheddar,Grilled Mediterranean chicken sandwich,A little: I've written a few lines of code or modified scripts
918971973,2019-03-19 20:05:48-05:00,Other,Fellow,Feinberg School of Medicine,,Neonatology,Grilled Mediterranean chicken sandwich,Grilled Mediterranean chicken sandwich,None: Complete beginner
919195156,2019-03-20 08:01:09-05:00,Faculty,,Feinberg School of Medicine,,Pediatrics,Turkey breast and provolone,Grilled Mediterranean chicken sandwich,None: Complete beginner
919355350,2019-03-20 11:45:35-05:00,Staff,,School of Communication,,Communication Sciences & Disorders,Grilled Mediterranean chicken sandwich,Turkey breast and provolone,None: Complete beginner
919363492,2019-03-20 11:56:23-05:00,Postdoc,,Weinberg College,,Earth and Planetary Sciences,Turkey breast and provolone,Grilled Mediterranean chicken sandwich,OK: I've written a loop or function in another language/program
919386318,2019-03-20 12:26:24-05:00,PhD Student,,Other,Graduate School,NUIN,Grilled Mediterranean chicken sandwich,Roast beef and cheddar,None: Complete beginner
919403034,2019-03-20 12:48:58-05:00,Other,Visiting Scholar,McCormick School of Engineering and Applied Science,,Chemical Engineering,Grilled Mediterranean chicken sandwich,Roast beef and cheddar,None: Complete beginner
919930425,2019-03-21 09:08:59-05:00,Staff,,Feinberg School of Medicine,,Physiology,Grilled veggie wrap,Grilled veggie wrap,None: Complete beginner
919953059,2019-03-21 09:42:02-05:00,Staff,,Feinberg School of Medicine,,IPHAM/ CHIP,Turkey breast and provolone,Grilled Mediterranean chicken sandwich,OK: I've written a loop or function in another language/program
919964129,2019-03-21 09:57:36-05:00,Staff,,Feinberg School of Medicine,,Center for Health Information Partnerships,Grilled Mediterranean chicken sandwich,Grilled Mediterranean chicken sandwich,"Good: I use other languages or programs, and I'm looking to learn Python"
920018411,2019-03-21 11:11:20-05:00,Faculty,,Feinberg School of Medicine,,Preventive Medicine,Grilled Mediterranean chicken sandwich,Roast beef and cheddar,OK: I've written a loop or function in another language/program
920600023,2019-03-22 09:14:09-05:00,Staff,,Feinberg School of Medicine,,Pediatrics,Roast beef and cheddar,Roast beef and cheddar,A little: I've written a few lines of code or modified scripts